FullName,LastFirst,FirstName,LastName,Party,County,District,FormattedDistrict,EmployeeNo,InOfficeCount,PossibleVoteCount,CorrectVoteCount,IncorrectVoteCount,AbsenceCount,PresidingCount,MaxLegislatorScore,RawScore,PercentMissed,VotingPercent,VotingGrade,SponsorRawScore,CombinedPercent,CombinedGrade
Rep. Erik Johnson (D),"Johnson, Erik",Erik,Johnson,D,Strafford,11,Strafford-11,409202,139,139,8,128,3,0,184,16,2,8,CT,-0,8,CT
Rep. Kat McGhee (D),"McGhee, Kat",Kat,McGhee,D,Hillsborough,35,Hillsborough-35,408947,139,139,8,127,4,0,184,15,3,8,CT,0,8,CT
Rep. Jim Maggiore (D),"Maggiore, Jim",Jim,Maggiore,D,Rockingham,23,Rockingham-23,408922,139,139,13,126,0,0,184,19,0,10,CT,-2,8,CT
Rep. Louis Juris (D),"Juris, Louis",Louis,Juris,D,Hillsborough,7,Hillsborough-07,409114,139,139,6,122,11,0,184,15,8,8,CT,-0,8,CT
Rep. Sue Newman (D),"Newman, Sue",Sue,Newman,D,Hillsborough,4,Hillsborough-04,408537,139,139,8,131,0,0,184,15,0,8,CT,-0,8,CT
Rep. David Paige (D),"Paige, David",David,Paige,D,Carroll,1,Carroll-01,409144,139,139,8,131,0,0,184,15,0,8,CT,-1,8,CT
Rep. Tony Caplan (D),"Caplan, Tony",Tony,Caplan,D,Merrimack,8,Merrimack-08,409023,139,139,7,128,4,0,184,15,3,8,CT,-1,8,CT
Rep. Daniel Veilleux (D),"Veilleux, Daniel",Daniel,Veilleux,D,Hillsborough,34,Hillsborough-34,409005,139,139,8,131,0,0,184,15,0,8,CT,-1,8,CT
Rep. Jessica LaMontagne (D),"LaMontagne, Jessica",Jessica,LaMontagne,D,Strafford,17,Strafford-17,409120,139,139,7,132,0,0,184,14,0,8,CT,0,8,CT
Rep. Gerald Ward (D),"Ward, Gerald",Gerald,Ward,D,Rockingham,27,Rockingham-27,377188,139,139,7,132,0,0,184,14,0,8,CT,0,8,CT
Rep. Patricia Cornell (D),"Cornell, Patricia",Patricia,Cornell,D,Hillsborough,22,Hillsborough-22,377289,139,139,4,114,21,0,184,20,15,11,CT,-3,8,CT
Rep. Karen Ebel (D),"Ebel, Karen",Karen,Ebel,D,Merrimack,7,Merrimack-07,377093,139,139,8,130,1,0,184,16,1,8,CT,-1,8,CT
Rep. Mary Georges (D),"Georges, Mary",Mary,Georges,D,Hillsborough,23,Hillsborough-23,409233,139,139,10,128,1,0,184,14,1,7,CT,0,8,CT
Rep. Rosemarie Rung (D),"Rung, Rosemarie",Rosemarie,Rung,D,Hillsborough,12,Hillsborough-12,408862,139,139,8,130,1,0,184,15,1,8,CT,-1,7,CT
Rep. Dennis Malloy (D),"Malloy, Dennis",Dennis,Malloy,D,Rockingham,24,Rockingham-24,377137,139,139,8,125,6,0,184,15,4,8,CT,-1,7,CT
Rep. Alice Wade (D),"Wade, Alice",Alice,Wade,D,Strafford,15,Strafford-15,409306,139,139,8,130,1,0,184,15,1,8,CT,-1,7,CT
Rep. Thomas Cormen (D),"Cormen, Thomas",Thomas,Cormen,D,Grafton,15,Grafton-15,409084,139,139,9,130,0,0,184,14,0,8,CT,-1,7,CT
Rep. Linda Harriott-Gathright (D),"Harriott-Gathright, Linda",Linda,Harriott-Gathright,D,Hillsborough,10,Hillsborough-10,377113,139,139,5,125,9,0,184,14,6,7,CT,-0,7,CT
Rep. Dru Fox (D),"Fox, Dru",Dru,Fox,D,Cheshire,2,Cheshire-02,408975,139,139,6,127,6,0,184,13,4,7,CT,0,7,CT
Rep. Lucius Parshall (D),"Parshall, Lucius",Lucius,Parshall,D,Cheshire,8,Cheshire-08,408976,139,139,5,129,5,0,184,13,4,7,CT,0,7,CT
Rep. Tracy Bricchi (D),"Bricchi, Tracy",Tracy,Bricchi,D,Merrimack,15,Merrimack-15,409211,139,139,8,130,1,0,184,17,1,9,CT,-2,7,CT
Rep. Suzanne Chretien (D),"Chretien, Suzanne",Suzanne,Chretien,D,Hillsborough,19,Hillsborough-19,409217,139,139,8,130,1,0,184,13,1,7,CT,-0,7,CT
Rep. Thomas Southworth (D),"Southworth, Thomas",Thomas,Southworth,D,Strafford,11,Strafford-11,377316,139,139,8,130,1,0,184,13,1,7,CT,0,7,CT
Rep. Sallie Fellows (D),"Fellows, Sallie",Sallie,Fellows,D,Grafton,8,Grafton-08,408836,139,139,7,126,6,0,184,15,4,8,CT,-2,7,CT
Rep. Jerry Stringham (D),"Stringham, Jerry",Jerry,Stringham,D,Grafton,3,Grafton-03,408834,139,139,8,130,1,0,184,13,1,7,CT,-0,7,CT
Rep. Ellen Rockmore (D),"Rockmore, Ellen",Ellen,Rockmore,D,Grafton,12,Grafton-12,409288,139,139,7,129,3,0,184,12,2,7,CT,0,7,CT
Rep. Eric Gallager (D),"Gallager, Eric",Eric,Gallager,D,Merrimack,20,Merrimack-20,409026,139,139,6,131,2,0,184,12,1,7,CT,0,7,CT
Rep. Barry Faulkner (D),"Faulkner, Barry",Barry,Faulkner,D,Cheshire,10,Cheshire-10,407628,139,139,8,129,2,0,184,12,1,7,CT,0,7,CT
Rep. Suraj Budathoki (D),"Budathoki, Suraj",Suraj,Budathoki,D,Hillsborough,40,Hillsborough-40,409215,133,139,6,123,4,0,169,11,3,7,CT,0,7,CT
Rep. Christine Seibert (D),"Seibert, Christine",Christine,Seibert,D,Hillsborough,21,Hillsborough-21,409166,139,139,5,121,13,0,184,14,9,7,CT,-1,7,CT
Rep. Laura Telerski (D),"Telerski, Laura",Laura,Telerski,D,Hillsborough,11,Hillsborough-11,408878,139,139,6,125,8,0,184,14,6,7,CT,-1,6,CT
Rep. David Preece (D),"Preece, David",David,Preece,D,Hillsborough,17,Hillsborough-17,801430,139,139,5,121,13,0,184,15,9,8,CT,-2,6,CT
Rep. Will Darby (D),"Darby, Will",Will,Darby,D,Hillsborough,11,Hillsborough-11,409086,139,139,11,128,0,0,184,14,0,8,CT,-1,6,CT
Rep. William Palmer (D),"Palmer, William",William,Palmer,D,Sullivan,2,Sullivan-02,409145,139,139,7,131,1,0,184,12,1,6,CT,0,6,CT
Rep. Luz Bay (D),"Bay, Luz",Luz,Bay,D,Strafford,21,Strafford-21,409068,139,139,6,131,2,0,184,13,1,7,CT,-1,6,CT
Rep. Connie Lane (D),"Lane, Connie",Connie,Lane,D,Merrimack,16,Merrimack-16,408890,139,139,7,132,0,0,184,14,0,8,CT,-2,6,CT
Rep. Thomas Oppel (D),"Oppel, Thomas",Thomas,Oppel,D,Grafton,9,Grafton-09,409281,139,139,6,132,1,0,184,13,1,7,CT,-1,6,CT
Rep. Jodi Newell (D),"Newell, Jodi",Jodi,Newell,D,Cheshire,4,Cheshire-04,409139,139,139,7,131,1,0,184,14,1,7,CT,-1,6,CT
Rep. Trinidad Tellez (D),"Tellez, Trinidad",Trinidad,Tellez,D,Hillsborough,40,Hillsborough-40,409180,139,139,6,129,4,0,184,11,3,6,CT,0,6,CT
Rep. Alexis Simpson (D),"Simpson, Alexis",Alexis,Simpson,D,Rockingham,33,Rockingham-33,377314,139,139,6,128,5,0,184,12,4,7,CT,-1,6,CT
Rep. Suzanne Vail (D),"Vail, Suzanne",Suzanne,Vail,D,Hillsborough,6,Hillsborough-06,377185,139,139,6,129,4,0,184,11,3,6,CT,0,6,CT
Rep. Lee Ann Kluger (D),"Kluger, Lee Ann",Lee Ann,Kluger,D,Hillsborough,6,Hillsborough-06,409252,139,139,7,129,3,0,184,12,2,7,CT,-1,6,CT
Rep. Peter Petrigno (D),"Petrigno, Peter",Peter,Petrigno,D,Hillsborough,43,Hillsborough-43,408958,139,139,8,131,0,0,184,12,0,7,CT,-1,6,CT
Rep. David Fracht (D),"Fracht, David",David,Fracht,D,Grafton,16,Grafton-16,409196,139,139,4,133,2,0,184,11,1,6,CT,-0,6,CT
Rep. Brian Sullivan (D),"Sullivan, Brian",Brian,Sullivan,D,Sullivan,1,Sullivan-01,408813,139,139,7,131,1,0,184,11,1,6,CT,0,6,CT
Rep. Tim Hartnett (D),"Hartnett, Tim",Tim,Hartnett,D,Hillsborough,41,Hillsborough-41,409244,139,139,6,132,1,0,184,11,1,6,CT,0,6,CT
Rep. Carry Spier (D),"Spier, Carry",Carry,Spier,D,Hillsborough,6,Hillsborough-06,409174,139,139,9,130,0,0,184,12,0,7,CT,-1,6,CT
Rep. Peter Bixby (D),"Bixby, Peter",Peter,Bixby,D,Strafford,13,Strafford-13,377070,139,139,7,132,0,0,184,11,0,6,CT,-1,5,CT
Rep. Eileen Kelly (D),"Kelly, Eileen",Eileen,Kelly,D,Merrimack,8,Merrimack-08,409249,139,139,8,131,0,0,184,11,0,6,CT,-1,5,CT
Rep. Ray Newman (D),"Newman, Ray",Ray,Newman,D,Hillsborough,4,Hillsborough-04,408871,139,139,7,132,0,0,184,10,0,5,CT,0,5,CT
Rep. Stephen Woodcock (D),"Woodcock, Stephen",Stephen,Woodcock,D,Carroll,1,Carroll-01,408824,139,139,6,133,0,0,184,12,0,7,CT,-1,5,CT
Rep. James Newsom (D),"Newsom, James",James,Newsom,D,Merrimack,9,Merrimack-09,409279,139,139,7,132,0,0,184,10,0,5,CT,-0,5,CT
Rep. Matthew Wilhelm (D),"Wilhelm, Matthew",Matthew,Wilhelm,D,Hillsborough,21,Hillsborough-21,408887,139,139,5,130,4,0,184,10,3,5,CT,-0,5,CT
Rep. Paul Dargie (D),"Dargie, Paul",Paul,Dargie,D,Hillsborough,43,Hillsborough-43,408957,139,139,7,132,0,0,184,10,0,5,CT,-1,5,CT
Rep. Susan Almy (D),"Almy, Susan",Susan,Almy,D,Grafton,17,Grafton-17,376095,139,139,7,132,0,0,184,10,0,5,CT,-1,5,CT
Rep. Erin Kerwin (D),"Kerwin, Erin",Erin,Kerwin,D,Hillsborough,40,Hillsborough-40,409250,139,139,5,134,0,0,184,10,0,5,CT,-1,5,CT
Rep. Philip Jones (D),"Jones, Philip",Philip,Jones,D,Cheshire,3,Cheshire-03,409113,139,139,6,132,1,0,184,10,1,5,CT,-0,5,CT
Rep. Jim Snodgrass (D),"Snodgrass, Jim",Jim,Snodgrass,D,Merrimack,28,Merrimack-28,409296,139,139,6,133,0,0,184,9,0,5,CT,0,5,CT
Rep. Janet Wall (D),"Wall, Janet",Janet,Wall,D,Strafford,11,Strafford-11,372557,139,139,6,133,0,0,184,9,0,5,CT,0,5,CT
Rep. Lucy Weber (D),"Weber, Lucy",Lucy,Weber,D,Cheshire,5,Cheshire-05,376668,139,139,6,133,0,0,184,9,0,5,CT,-0,5,CT
Rep. Manoj Chourasia (D),"Chourasia, Manoj",Manoj,Chourasia,D,Hillsborough,11,Hillsborough-11,409216,139,139,7,132,0,0,184,9,0,5,CT,-0,5,CT
Rep. Lily Foss (D),"Foss, Lily",Lily,Foss,D,Hillsborough,41,Hillsborough-41,409231,139,139,6,133,0,0,184,8,0,4,CT,0,5,CT
Rep. Michael Edgar (D),"Edgar, Michael",Michael,Edgar,D,Rockingham,29,Rockingham-29,377778,139,139,6,133,0,0,184,9,0,5,CT,-0,5,CT
Rep. Zoe Manos (D),"Manos, Zoe",Zoe,Manos,D,Rockingham,12,Rockingham-12,409128,139,139,7,131,1,0,184,11,1,6,CT,-1,4,CT
Rep. Terri O'Rorke (D),"O'Rorke, Terri",Terri,O'Rorke,D,Cheshire,7,Cheshire-07,409280,139,139,7,132,0,0,184,10,0,5,CT,-1,4,CT
Rep. Mary Jane Wallner (D),"Wallner, Mary Jane",Mary Jane,Wallner,D,Merrimack,19,Merrimack-19,368423,139,139,6,132,1,0,184,10,1,5,CT,-1,4,CT
Rep. Christal Lloyd (D),"Lloyd, Christal",Christal,Lloyd,D,Hillsborough,8,Hillsborough-08,409124,139,139,5,131,3,0,184,9,2,5,CT,-0,4,CT
Rep. John Cloutier (D),"Cloutier, John",John,Cloutier,D,Sullivan,6,Sullivan-06,375829,139,139,6,133,0,0,184,9,0,5,CT,-1,4,CT
Rep. Megan Murray (D),"Murray, Megan",Megan,Murray,D,Hillsborough,37,Hillsborough-37,408943,139,139,7,131,1,0,184,11,1,6,CT,-2,4,CT
Rep. Timothy Horrigan (D),"Horrigan, Timothy",Timothy,Horrigan,D,Strafford,10,Strafford-10,376826,139,139,7,132,0,0,184,10,0,5,CT,-1,4,CT
Rep. Janet Lucas (D),"Lucas, Janet",Janet,Lucas,D,Grafton,7,Grafton-07,409258,139,139,6,133,0,0,184,9,0,5,CT,-1,4,CT
Rep. Dick Ames (D),"Ames, Dick",Dick,Ames,D,Cheshire,13,Cheshire-13,377061,139,139,6,133,0,0,184,9,0,5,CT,-1,4,CT
Rep. George Sykes (D),"Sykes, George",George,Sykes,D,Grafton,14,Grafton-14,377176,139,139,5,133,1,0,184,8,1,4,CT,0,4,CT
Rep. Wayne Burton (D),"Burton, Wayne",Wayne,Burton,D,Strafford,10,Strafford-10,373142,139,139,6,132,1,0,184,10,1,5,CT,-1,4,CT
Rep. Mary Hakken-Phillips (D),"Hakken-Phillips, Mary",Mary,Hakken-Phillips,D,Grafton,12,Grafton-12,408990,139,139,6,133,0,0,184,9,0,5,CT,-1,4,CT
Rep. Susan Elberger (D),"Elberger, Susan",Susan,Elberger,D,Hillsborough,5,Hillsborough-05,409093,139,139,5,134,0,0,184,7,0,4,CT,0,4,CT
Rep. Kathy Staub (D),"Staub, Kathy",Kathy,Staub,D,Hillsborough,25,Hillsborough-25,409176,139,139,5,134,0,0,184,7,0,4,CT,-0,4,CT
Rep. Wendy Thomas (D),"Thomas, Wendy",Wendy,Thomas,D,Hillsborough,12,Hillsborough-12,408864,139,139,4,131,4,0,184,8,3,4,CT,-1,4,CT
Rep. Nancy Murphy (D),"Murphy, Nancy",Nancy,Murphy,D,Hillsborough,12,Hillsborough-12,408861,139,139,7,132,0,0,184,10,0,5,CT,-2,3,CT
Rep. Heather Raymond (D),"Raymond, Heather",Heather,Raymond,D,Hillsborough,5,Hillsborough-05,409158,139,139,5,134,0,0,184,8,0,4,CT,-1,3,CT
Rep. Loren Selig (D),"Selig, Loren",Loren,Selig,D,Strafford,10,Strafford-10,409168,139,139,4,126,9,0,184,13,6,7,CT,-4,3,CT
Rep. Muriel Hall (D),"Hall, Muriel",Muriel,Hall,D,Merrimack,9,Merrimack-09,409056,139,139,5,134,0,0,184,7,0,4,CT,-1,3,CT
Rep. Gary Woods (D),"Woods, Gary",Gary,Woods,D,Merrimack,30,Merrimack-30,408895,139,139,5,134,0,0,184,6,0,3,CT,-1,3,CT
Rep. Hope Damon (D),"Damon, Hope",Hope,Damon,D,Sullivan,8,Sullivan-08,409085,139,139,6,132,1,0,184,10,1,5,CT,-3,2,CT
