FullName,LastFirst,FirstName,LastName,Party,County,District,FormattedDistrict,EmployeeNo,InOfficeCount,PossibleVoteCount,CorrectVoteCount,IncorrectVoteCount,AbsenceCount,PresidingCount,MaxLegislatorScore,RawScore,PercentMissed,VotingPercent,VotingGrade,SponsorRawScore,CombinedPercent,CombinedGrade
Rep. Brian Taylor (R),"Taylor, Brian",Brian,Taylor,R,Carroll,8,Carroll-08,409302,139,139,92,46,1,0,184,118,1,64,C,0,64,C
Rep. Sheri Minor (R),"Minor, Sheri",Sheri,Minor,R,Belknap,5,Belknap-05,409271,139,139,51,9,79,0,184,116,57,63,INC,0,63,INC
Rep. Bill Boyd (R),"Boyd, Bill",Bill,Boyd,R,Hillsborough,12,Hillsborough-12,409055,139,139,86,39,14,0,184,117,10,64,C,-1,63,C
Rep. Russell Dumais (R),"Dumais, Russell",Russell,Dumais,R,Belknap,6,Belknap-06,377221,139,139,42,1,96,0,184,115,69,62,INC,0,62,INC
Rep. Tim Mannion (R),"Mannion, Tim",Tim,Mannion,R,Hillsborough,1,Hillsborough-01,409261,139,139,32,2,105,0,184,114,76,62,INC,0,62,INC
Rep. Mike Bordes (R),"Bordes, Mike",Mike,Bordes,R,Belknap,5,Belknap-05,408963,139,139,47,16,76,0,184,108,55,59,INC,0,59,INC
Rep. Joseph Guthrie (R),"Guthrie, Joseph",Joseph,Guthrie,R,Rockingham,15,Rockingham-15,376127,139,139,75,37,27,0,184,108,19,58,C-,0,59,C-
Rep. Michael Murphy (R),"Murphy, Michael",Michael,Murphy,R,Coos,6,Coos-06,409201,133,139,21,1,111,0,169,97,83,57,INC,0,57,INC
Rep. Peter Varney (R),"Varney, Peter",Peter,Varney,R,Belknap,7,Belknap-07,377271,139,139,18,1,120,0,184,103,86,56,INC,0,56,INC
Rep. Matthew Coker (R),"Coker, Matthew",Matthew,Coker,R,Belknap,2,Belknap-02,409079,139,139,66,43,30,0,184,102,22,55,C-,-1,54,C-
Rep. Bryan Morse (R),"Morse, Bryan",Bryan,Morse,R,Merrimack,3,Merrimack-03,409273,139,139,16,1,122,0,184,100,88,54,INC,0,54,INC
Rep. Sherman Packard (R),"Packard, Sherman",Sherman,Packard,R,Rockingham,16,Rockingham-16,375453,139,139,8,1,83,47,121,65,60,54,SPKR,0,54,SPKR
Rep. Nicholas Bridle (R),"Bridle, Nicholas",Nicholas,Bridle,R,Rockingham,29,Rockingham-29,409212,139,139,76,59,4,0,184,95,3,52,D+,0,52,D+
